distance_km,hour_of_day,day_of_week,is_raining,travel_time_minutes,road_qualities,congestion_levels,type_of_road,checkpoints
27.32,10,2,0,104.77,1,4,0,0
8.23,7,3,0,19.46,1,4,0,1
12.9,8,5,0,27.21,1,2,0,1
22.91,19,3,0,75.97,1,5,0,3
7.64,13,2,0,14.76,1,5,1,1
3.23,17,1,0,14.37,1,5,0,2
9.4,15,5,0,15.08,1,1,0,1
5.68,22,0,0,19.52,1,5,0,4
27.96,16,0,0,63.55,1,5,0,3
24.44,7,0,0,50.55,1,2,0,4
19.37,9,0,0,48.08,2,3,1,4
26.27,6,4,0,53.96,1,4,0,3
24.31,20,0,0,40.97,1,2,0,0
6.41,18,2,0,18.39,1,2,0,1
26.88,13,6,0,34.49,2,2,1,2
16.64,9,0,0,55.81,1,4,0,0
24.42,15,3,0,40.35,2,2,0,2
26.99,10,6,0,57.43,1,3,0,3
10.22,21,0,0,23.54,1,5,0,1
4.19,6,6,0,8.19,1,3,0,0
7.61,17,1,0,35.98,2,5,0,3
13.39,7,2,0,21.95,2,5,1,0
24.72,13,2,0,42.6,2,2,0,4
25.96,21,6,0,41.81,1,2,0,1
1.2,10,5,0,4.59,2,4,0,1
15.81,18,4,0,52.24,1,1,0,3
13.1,8,3,0,48.43,2,3,0,3
7.44,13,6,0,16.2,1,4,1,3
4.48,17,2,0,14.06,2,4,0,1
10.79,7,1,0,27.5,2,3,0,4
28.34,16,0,1,71.81,1,3,0,1
10.37,17,2,0,39.98,1,5,1,3
16.04,18,1,0,43.27,1,1,0,2
21.39,10,0,0,77.1,1,2,0,4
11.55,17,4,0,27.81,1,1,0,1
29.18,7,2,0,41.92,2,1,0,2
28.91,10,2,0,86.21,1,2,0,4
8.3,12,6,0,14.98,1,1,0,1
15.42,17,6,0,42.02,1,4,0,3
9.73,21,1,0,16.44,1,4,1,1
9.26,13,5,0,23.2,1,2,0,4
2.07,14,6,0,9.69,1,2,0,3
18.68,20,3,0,23.76,1,3,1,0
15.58,10,4,1,59.95,1,3,0,2
2.49,18,3,0,12.19,2,1,0,3
9.08,10,2,0,26.96,1,1,0,3
27.34,16,3,0,46.86,2,2,0,4
7.95,15,0,0,19.62,2,1,0,4
5.2,18,4,0,21.82,1,5,0,2
15.19,14,3,0,34.94,1,4,0,4
29.58,19,0,1,98.07,1,1,0,3
8.02,20,1,0,14.44,2,1,0,2
20.49,15,3,0,38.57,1,3,0,2
23.09,12,4,0,46.08,2,5,0,1
7.89,13,0,0,19.14,0,1,0,3
22.12,8,3,0,79.12,1,4,0,3
11.67,20,1,0,25.04,1,1,0,4
19.34,21,3,0,35.82,1,2,0,3
19.37,9,0,0,75.81,1,5,0,4
16.54,11,3,0,26.44,0,1,1,3
3.62,6,4,0,8.45,2,5,0,1
25.22,9,2,0,66.35,2,1,0,3
10.3,16,0,0,16.58,1,4,1,1
6.41,17,0,0,19.78,1,4,1,3
2.18,10,0,0,12.61,1,5,0,3
18.14,21,0,0,31.22,2,3,0,0
20.65,18,3,0,60.61,1,3,1,3
1.48,18,4,1,8.49,0,2,0,1
15.85,22,1,1,45.53,1,3,0,2
7.57,12,4,0,18.75,1,5,0,1
19.71,13,0,1,49.88,2,3,0,3
6.06,18,5,0,18.26,2,2,0,4
21.04,21,3,0,28.41,1,1,0,0
12.22,9,5,0,28.95,2,3,0,4
28.17,13,3,0,59.98,2,5,0,0
4.99,21,0,0,10.93,0,5,0,0
10.89,15,3,0,19.44,2,2,1,4
4.29,17,0,0,20.75,1,2,0,3
27.82,17,4,0,95.92,1,4,0,1
26.44,10,6,0,62.76,1,4,0,4
8.48,21,2,0,20.32,2,4,0,2
20.14,6,3,0,27.53,1,1,0,0
24.7,14,0,0,53.13,2,5,0,1
17.1,17,5,1,52.73,1,4,0,2
16.36,10,0,0,64.35,1,5,0,1
8.01,8,5,0,17.69,2,2,1,3
3.7,10,3,0,14.72,2,1,0,2
27.02,7,1,0,48.89,1,2,0,4
27.11,19,5,0,65.14,1,5,0,1
19.36,7,0,1,66.8,0,4,0,4
10.83,18,3,0,45.18,1,2,0,4
11.13,12,0,0,20.43,2,3,0,1
22.05,15,1,0,35.11,1,1,0,1
27.02,18,2,0,96.68,1,5,1,0
26.73,21,6,0,53.51,1,4,0,0
23.62,19,6,0,46.65,1,2,0,2
19.62,16,1,0,28.89,0,1,1,2
3.44,15,4,0,11.19,1,4,0,2
5.69,11,3,0,9.37,2,2,0,0
27.06,9,1,0,109.36,2,5,0,4
18.59,6,2,0,38.45,1,3,0,3
1.27,12,0,0,8.73,0,3,0,3
3.94,14,3,1,12.92,1,5,0,1
20.24,13,5,0,28.05,2,1,0,0
1.15,10,1,0,5.74,1,5,0,1
5.66,15,2,0,15.67,1,2,0,3
16.91,16,1,0,18.25,2,1,1,1
21.06,20,4,0,39.66,1,3,0,0
19.91,11,6,0,31.66,1,2,0,0
7.5,20,6,0,14.49,1,4,0,0
21.65,10,3,0,64.23,1,4,0,3
7.88,15,0,0,15.43,1,4,0,0
10.44,17,2,1,36.79,2,3,0,2
22.65,9,1,0,68.52,1,5,0,2
19.84,21,3,0,28.46,1,1,0,0
25.63,13,1,0,35.6,1,3,1,2
20.07,9,3,0,49.23,2,2,0,0
17.48,17,6,0,35.89,2,2,0,3
3.72,7,4,0,12.24,0,4,0,2
11.66,9,1,0,30.66,1,1,0,3
8.69,10,4,0,33.2,1,4,0,2
8.08,8,5,0,23.4,1,2,0,4
29.22,14,5,1,79.55,1,2,0,4
12.4,16,6,0,32.59,1,5,0,3
26.87,8,2,0,70.9,2,5,1,2
19.3,7,4,0,49.18,1,5,0,4
24.05,14,3,1,45.2,1,4,1,0
15.58,19,2,0,56.98,1,1,0,1
17.73,9,1,0,75.36,1,5,0,4
15.28,14,1,0,33.28,1,3,0,4
6.66,18,3,0,24.97,0,5,0,0
21.95,20,0,0,51.14,1,4,0,4
9.14,15,0,1,25.77,2,1,0,4
1.71,21,1,0,11.45,2,5,0,4
19.72,17,6,0,38.68,1,1,0,2
6.14,10,6,0,22.62,1,3,0,4
28.27,7,3,0,44.52,1,2,0,1
28.66,15,0,0,48.01,1,1,0,2
27.53,6,4,1,73.82,1,5,0,2
11.73,12,1,0,28.61,2,4,0,3
1.45,22,5,1,11.19,1,4,0,4
27.92,21,4,0,49.22,2,4,0,1
13.42,8,3,0,38.94,1,4,0,1
29.03,19,5,0,54.52,2,1,0,3
28.94,15,4,0,57.45,1,4,0,1
25.74,12,0,0,39.87,2,2,0,2
9.54,22,6,0,12.72,1,3,1,0
12.17,11,0,0,20.07,2,1,0,2
25.68,9,5,0,42.78,1,1,0,0
10.19,22,2,0,20.26,1,4,0,1
5.92,14,6,0,18.98,1,4,0,4
17.15,9,1,0,50.98,0,1,0,0
28.15,12,5,0,57.6,1,4,0,2
21.18,7,3,0,45.43,1,4,0,2
17.53,22,1,0,41.35,1,4,0,2
3.82,13,4,0,11.96,1,4,0,2
18.84,20,6,0,45.79,1,4,0,3
29.71,20,3,0,63.65,2,5,0,1
5.06,13,3,0,18.05,2,5,0,4
16.03,21,0,0,42.1,1,5,0,3
26.44,16,4,0,42.18,1,1,0,1
22.48,7,0,0,26.21,2,3,1,0
21.21,22,0,1,48.29,2,1,0,3
21.37,21,6,0,60.47,0,5,0,3
11.43,20,2,0,20.29,2,1,0,3
9.51,18,0,0,32.08,1,3,0,3
24.47,20,1,0,45.35,2,4,0,0
24.49,9,3,0,91.52,1,2,0,2
26.15,21,6,0,58.17,1,5,0,3
27.48,17,0,1,110.12,1,5,0,1
15.83,9,5,0,31.9,1,3,0,2
15.54,8,1,0,44.38,1,4,0,0
24.15,22,4,0,49.75,2,4,0,4
19.85,22,3,0,34.88,1,2,0,0
21.36,17,6,0,67.44,0,4,0,4
24.08,9,5,0,60.04,0,3,0,1
26.81,17,6,0,68.14,1,4,0,4
10.8,20,6,0,23.07,2,3,0,3
11.89,21,5,0,28.16,2,5,0,2
3.73,10,4,0,15.6,1,5,0,2
17.77,20,5,0,39.59,1,5,0,3
2.04,22,1,1,7.66,1,1,0,2
14.5,10,6,0,24.55,2,5,1,0
16.74,18,4,0,51.57,1,3,0,3
9.31,18,6,0,20.24,1,2,1,3
18.13,19,5,1,56.82,1,4,0,2
1.88,9,4,0,14.3,2,5,0,4
2.08,9,4,0,9.4,0,1,0,1
24.86,18,0,0,78.32,1,1,1,4
11.45,17,0,0,43.04,1,3,0,0
4.68,12,0,0,11.8,1,2,1,3
16.15,17,5,1,69.36,0,5,0,3
23.33,9,3,1,94.18,1,5,0,0
7.26,7,1,0,9.44,1,1,1,1
19.06,7,5,0,27.65,2,3,1,3
3.48,10,6,0,13.95,1,1,0,4
2.5,15,0,0,2.73,1,1,1,0
16.41,15,4,1,40.6,2,2,0,3
16.68,14,5,0,29.61,2,3,1,4
19.49,18,4,0,37.03,2,2,1,0
22.06,12,6,0,28.24,2,3,1,0
29.3,10,4,0,92.9,1,5,1,0
15.97,15,4,0,34.53,1,4,0,1
10.37,15,2,0,20.58,1,4,0,0
24.06,11,3,0,41.63,2,3,0,2
8.85,13,1,0,22.38,1,4,0,2
13.73,6,1,1,30.87,1,1,0,0
3.28,22,0,0,12.6,1,5,0,3
1.74,12,2,0,7.6,2,5,0,2
28.92,19,5,0,65.09,2,4,0,4
25.24,22,5,0,48.75,2,3,0,4
21.18,14,1,0,35.91,1,1,0,3
12.86,22,3,0,32.88,1,3,0,4
6.03,10,4,0,23.2,1,4,0,3
5.54,13,6,0,20.36,1,5,0,4
8.26,11,0,0,20.14,0,5,0,0
16.93,16,3,1,50.86,1,3,0,4
21.72,9,1,0,59.24,1,2,0,0
20.15,6,2,0,40.02,2,3,0,4
9.12,18,0,1,42.69,1,2,0,4
28.69,19,1,0,86.5,2,3,0,4
22.4,6,5,0,35.72,1,2,0,0
17.08,16,0,0,34.63,1,2,0,4
18.74,22,1,0,41.68,1,2,0,4
13.17,9,5,0,26.13,1,2,0,1
8.18,17,6,0,14.58,1,1,0,0
11.32,15,5,0,23.0,1,2,0,2
22.98,11,4,0,42.42,2,2,0,3
1.42,6,2,0,4.64,2,5,0,1
4.37,12,4,0,15.0,1,1,0,4
2.33,21,1,0,7.69,2,2,0,2
2.18,19,6,0,8.52,1,4,0,2
25.81,11,3,0,46.12,2,1,0,4
21.41,10,6,1,79.93,1,5,0,4
14.75,20,6,0,25.96,2,3,0,1
3.84,11,6,0,7.58,2,5,0,0
15.26,6,4,0,33.88,2,5,0,1
14.73,6,3,0,25.95,0,1,0,0
6.02,18,5,1,19.33,1,1,0,2
13.58,8,1,0,41.3,1,4,1,3
12.56,15,2,0,34.2,0,4,0,4
18.86,8,3,0,46.82,1,1,1,1
19.42,14,1,1,37.72,2,1,1,2
2.31,13,3,1,7.26,1,1,0,1
11.86,8,4,0,29.89,1,3,0,0
19.15,18,1,1,80.23,1,5,0,4
15.59,11,4,0,27.03,0,4,1,0
25.84,18,0,0,83.67,1,4,0,0
20.1,17,1,0,57.54,1,2,1,0
5.73,18,3,1,28.33,1,3,0,2
3.05,7,0,0,10.49,2,1,1,4
19.63,21,4,0,36.66,1,1,0,3
1.77,11,4,0,4.07,2,3,1,1
17.99,18,3,0,60.23,2,4,0,0
28.27,22,0,1,82.4,0,1,0,4
17.69,14,6,0,27.77,2,2,0,1
12.26,22,5,1,42.96,1,4,0,4
19.66,7,2,1,51.36,1,5,0,1
14.29,12,3,0,32.17,1,3,0,4
16.82,15,4,0,40.65,1,4,0,3
28.3,15,1,0,66.51,2,5,0,4
12.2,14,0,0,27.14,1,2,0,4
28.87,22,5,0,46.82,1,3,0,0
27.26,20,2,0,40.26,1,1,0,0
6.68,7,1,0,10.39,1,1,0,0
3.01,9,0,1,19.58,2,5,0,4
3.92,22,5,0,13.61,1,4,0,3
1.53,10,3,0,4.75,1,2,1,1
3.74,12,5,1,10.05,1,5,0,0
20.81,12,3,0,36.4,1,2,0,2
3.06,22,6,0,13.88,0,2,0,4
10.25,12,0,0,23.32,1,2,0,3
25.5,9,5,0,62.64,1,3,0,3
1.67,13,2,0,3.06,2,5,0,0
24.62,18,5,0,50.52,1,3,0,0
9.17,9,0,0,33.2,2,4,0,2
4.43,11,1,0,12.13,2,4,0,2
21.21,10,1,0,47.77,2,1,1,0
19.24,17,5,0,33.33,1,1,0,1
26.45,9,5,0,29.54,2,1,1,0
22.32,14,3,0,37.88,2,4,0,0
24.3,9,0,0,71.53,2,2,0,3
9.18,19,3,0,35.31,0,2,0,0
6.15,10,2,0,21.67,1,5,0,0
22.77,15,6,0,37.74,2,4,0,0
24.4,17,1,0,63.15,1,1,0,1
29.72,22,4,0,66.16,1,4,0,3
12.97,16,4,0,31.27,1,2,0,4
11.79,8,0,0,42.83,2,2,0,4
23.52,22,0,0,53.04,1,3,0,4
10.88,6,4,0,20.83,2,3,1,4
27.99,20,0,0,60.97,1,5,0,3
25.89,14,1,0,50.1,1,4,0,0
13.44,20,2,1,43.42,1,3,0,4
22.78,8,2,0,61.75,1,3,0,0
22.88,18,3,0,67.08,1,4,0,4
3.99,17,1,0,16.78,1,2,0,1
27.17,6,6,0,62.42,1,5,0,0
15.65,22,0,0,37.57,1,5,0,3
24.97,18,0,0,85.51,1,5,0,1
10.28,6,6,0,22.31,1,3,0,1
26.97,15,3,1,75.0,0,2,0,3
12.29,20,3,1,37.62,1,5,0,1
1.31,12,0,0,2.35,1,4,0,0
27.26,21,0,1,72.72,2,5,0,2
3.65,19,6,0,10.37,1,1,0,2
10.26,12,1,0,23.17,0,2,1,4
28.55,22,6,0,37.58,1,1,1,4
28.57,17,3,0,79.76,1,2,0,0
17.63,13,6,0,41.69,1,4,0,3
19.32,7,6,0,31.46,1,3,0,0
14.0,12,6,0,31.62,1,3,0,4
9.5,9,1,0,28.47,1,2,0,1
10.53,11,5,0,24.29,1,5,0,0
20.5,14,0,0,32.5,1,1,0,0
22.82,14,4,0,52.33,1,4,0,3
23.96,19,6,1,81.56,1,5,0,4
23.9,13,4,0,36.66,2,3,0,0
3.64,8,5,0,10.56,1,5,0,1
15.34,10,0,1,56.37,2,1,0,1
2.67,19,3,0,10.53,1,3,0,2
16.94,9,4,0,56.33,2,2,0,4
13.8,12,3,0,26.83,1,4,0,1
26.74,17,4,0,79.54,1,4,0,3
11.18,7,3,0,29.2,1,3,0,4
4.39,16,6,0,11.36,0,2,0,1
5.15,19,4,0,9.19,2,1,1,0
23.08,21,3,0,52.14,1,4,0,4
18.93,11,5,1,43.61,1,3,0,1
3.93,9,1,0,10.74,1,4,1,0
3.44,20,3,1,14.1,0,2,0,2
21.33,6,1,1,56.46,1,1,0,4
3.11,12,1,0,13.05,1,2,0,4
24.83,17,0,0,89.59,1,5,0,1
21.48,15,6,0,42.94,1,2,0,2
3.36,10,5,1,14.03,2,2,0,3
3.46,17,1,0,15.18,2,4,0,1
29.61,15,2,0,39.96,1,2,1,1
11.85,11,6,0,26.88,1,3,0,3
11.75,17,1,0,35.52,1,4,1,3
24.57,12,3,1,81.49,1,4,0,3
28.47,7,1,0,58.79,2,5,0,3
29.59,15,3,1,77.36,1,3,0,3
22.85,20,3,0,36.89,1,2,0,0
11.91,17,2,0,36.9,1,5,0,0
3.42,22,1,1,13.42,2,3,0,3
23.54,9,1,0,83.78,2,5,0,2
17.19,12,4,1,33.92,2,1,1,2
13.3,14,6,0,29.18,1,2,0,3
27.28,12,4,0,62.1,1,5,0,0
4.22,7,0,0,9.29,2,1,0,2
15.29,11,3,1,31.4,1,2,0,0
1.33,11,2,1,5.44,1,5,0,1
14.59,18,4,0,46.26,1,5,1,0
2.63,7,1,0,11.51,1,5,0,3
4.45,17,0,0,21.24,1,5,0,4
4.41,20,2,0,13.18,2,4,0,3
19.83,19,5,0,51.47,0,5,0,1
22.64,11,1,0,44.17,2,4,0,0
17.92,10,1,1,65.57,2,4,0,2
28.9,8,5,0,56.39,2,1,0,3
11.87,8,3,0,41.21,1,2,0,2
9.29,15,3,0,19.11,1,4,0,0
26.19,8,4,0,70.27,2,3,0,1
7.48,17,4,1,35.41,1,4,0,3
28.93,21,1,0,40.17,1,3,1,2
1.35,22,6,1,9.21,1,1,0,3
29.13,12,1,1,86.25,0,3,0,3
2.25,18,4,0,12.11,1,1,0,2
26.84,7,5,0,44.44,1,1,0,1
16.3,9,4,0,59.05,1,1,0,3
29.8,15,1,0,61.54,0,3,0,1
3.14,12,2,0,6.82,2,3,0,1
17.06,22,1,0,25.87,1,1,0,0
29.11,11,2,0,51.63,1,1,0,2
16.17,10,2,0,40.56,2,2,1,0
19.25,15,1,0,26.42,1,1,1,4
21.18,14,6,0,44.38,2,5,0,0
14.18,18,6,0,26.9,1,2,1,3
19.2,11,0,0,26.41,2,2,1,3
17.95,9,4,0,57.47,1,2,0,3
27.13,8,6,0,82.05,1,5,0,4
2.32,8,3,0,8.43,1,2,0,1
9.15,9,1,0,28.41,1,2,1,3
28.56,10,2,0,94.97,1,3,0,0
26.82,13,1,0,47.94,2,3,0,1
14.21,21,4,0,20.72,1,1,0,0
18.98,8,5,1,48.53,2,1,0,0
9.04,17,6,0,28.06,1,4,0,3
6.46,13,6,0,14.02,1,5,0,0
14.45,18,6,0,29.95,2,3,1,4
11.25,9,2,0,28.01,2,1,0,1
17.93,19,3,0,58.08,1,5,0,3
3.25,19,3,1,17.63,2,2,0,3
29.26,18,6,0,68.15,1,5,0,0
29.6,11,3,1,82.19,0,3,0,0
21.25,22,5,0,37.08,1,4,1,2
16.55,9,6,1,44.09,2,3,0,2
9.98,13,0,0,20.23,2,1,0,3
24.6,22,2,0,30.99,1,1,1,3
20.86,8,5,0,38.21,2,5,1,0
5.72,22,2,0,17.67,2,3,0,4
27.42,14,6,0,49.27,1,1,0,4
24.85,7,5,0,39.6,1,2,0,0
28.54,18,6,0,64.97,1,2,0,2
22.05,7,5,0,44.01,1,4,0,2
18.79,16,6,0,43.47,2,5,0,4
13.13,20,0,0,26.36,1,1,0,3
28.05,16,2,1,67.85,1,4,1,0
26.12,8,5,0,57.9,1,2,0,3
2.31,8,0,0,10.92,2,4,0,2
1.76,17,1,0,13.59,1,4,0,4
11.92,10,6,0,29.99,1,1,0,3
24.51,12,4,1,56.92,1,1,0,2
29.63,12,5,0,50.12,1,1,0,2
5.36,18,3,0,22.24,2,5,0,2
18.23,14,0,1,47.85,1,4,0,3
12.05,18,0,0,48.31,1,4,0,1
29.13,17,5,0,84.36,1,5,0,4
25.42,18,0,1,77.79,1,2,0,2
25.31,15,1,0,48.93,2,3,0,3
14.59,6,0,0,17.33,1,2,1,0
13.03,13,4,0,33.78,2,5,0,4
8.93,21,4,0,22.02,0,4,0,0
2.63,18,6,1,6.88,1,4,0,0
26.08,8,6,0,46.39,2,1,0,3
24.57,8,3,0,77.59,1,1,0,1
29.99,10,1,0,97.48,1,4,1,3
29.9,16,4,0,60.85,2,4,0,3
17.11,12,5,0,31.84,2,1,0,4
23.3,15,2,0,46.1,0,1,0,3
28.4,15,2,0,53.89,1,2,0,4
25.64,7,2,1,72.76,0,4,0,2
8.17,8,6,0,24.7,2,4,0,4
14.07,13,5,0,32.87,1,5,0,3
4.75,16,0,0,8.7,2,2,1,2
28.67,18,5,0,70.46,0,3,0,2
18.58,12,0,0,35.04,1,3,0,1
7.63,18,2,0,25.06,1,3,0,3
20.48,7,3,1,38.63,1,1,0,0
18.93,11,3,1,46.66,1,3,1,3
11.39,14,0,0,23.12,1,5,0,0
4.29,7,2,0,7.52,2,1,0,1
20.48,21,5,0,39.77,1,1,0,3
16.09,17,3,0,59.48,1,3,0,1
23.4,12,0,0,28.59,2,1,0,0
16.08,12,5,0,30.0,2,2,0,4
25.71,22,2,0,50.23,1,2,0,3
17.01,18,1,0,47.58,2,3,0,2
17.27,16,2,0,37.97,1,5,0,2
26.42,11,6,0,27.95,1,1,1,1
12.7,19,2,0,42.48,2,4,0,4
4.89,11,5,1,14.83,2,3,0,2
1.83,11,5,1,6.79,2,1,1,2
22.9,7,4,0,32.89,2,3,1,3
18.99,20,4,0,39.58,1,3,0,2
21.42,22,5,0,47.31,1,5,0,0
7.18,13,5,0,11.76,1,4,1,1
4.95,10,1,0,15.4,1,1,1,2
1.42,22,1,0,8.5,1,3,0,3
11.17,6,2,0,13.59,1,3,1,0
18.11,20,6,0,27.64,2,1,0,2
12.38,10,3,0,46.75,2,3,0,1
13.69,12,6,1,34.92,1,3,0,1
27.22,11,1,0,50.66,1,3,0,1
11.1,10,2,0,29.89,2,2,0,2
15.91,15,6,0,26.21,1,2,0,0
23.73,20,0,0,52.73,2,4,0,4
12.5,15,4,0,26.79,1,5,0,1
19.04,21,6,0,21.63,1,1,1,0
26.01,17,3,0,81.69,2,5,0,3
28.54,6,2,0,64.72,2,5,0,3
5.27,21,6,0,8.19,1,2,0,0
27.87,11,5,0,58.14,1,4,0,3
15.27,8,0,0,44.31,2,5,1,3
8.49,7,4,0,19.78,1,5,0,1
14.31,7,0,0,25.56,2,3,0,2
29.42,18,2,0,97.12,1,1,0,2
15.29,14,1,0,31.16,1,4,0,2
10.53,21,4,0,22.77,0,1,0,2
19.37,10,0,1,64.27,1,2,0,0
7.96,12,1,1,20.45,1,5,1,1
3.2,18,3,0,8.42,1,5,0,0
4.74,18,2,1,23.1,1,1,0,3
4.71,12,2,0,10.23,1,2,0,1
5.41,15,4,1,21.41,1,3,0,4
5.03,20,0,0,13.43,1,3,0,2
19.59,11,3,0,45.07,2,5,0,3
6.27,10,5,0,20.41,1,5,0,2
11.02,7,4,0,26.19,1,4,0,2
27.01,20,5,0,48.21,1,1,0,2
14.74,21,4,1,46.89,2,5,0,4
20.36,14,0,0,42.37,1,2,0,3
6.0,12,3,0,12.74,1,1,0,2
6.58,9,0,0,30.47,0,4,0,2
2.19,8,2,0,7.69,2,3,0,1
5.9,16,5,0,15.57,2,4,0,2
9.08,6,1,0,14.45,1,1,0,1
6.13,11,6,0,16.7,1,3,0,3
3.57,16,2,0,12.01,1,2,0,3
4.5,6,2,0,13.48,1,3,0,3
14.36,12,5,0,27.3,2,3,0,1
6.98,11,4,0,20.81,0,2,0,4
11.56,19,2,1,64.05,1,5,0,4
15.6,7,6,0,37.81,1,5,0,2
21.02,9,3,0,69.96,1,3,0,3
2.14,16,2,0,3.74,1,3,0,0
24.18,20,3,0,50.94,2,4,0,2
19.21,6,0,0,48.96,1,5,0,4
3.37,8,4,0,19.04,1,2,0,4
26.33,8,3,0,75.46,1,3,0,3
27.71,12,2,0,50.11,1,3,0,1
2.77,6,4,0,10.71,0,4,0,2
9.03,16,6,0,20.35,1,4,0,1
24.38,11,4,0,65.99,0,4,0,4
22.7,8,3,0,67.08,2,1,0,3
6.35,7,3,0,17.76,1,2,0,4
7.07,17,1,0,23.54,1,1,0,3
11.74,15,1,0,19.3,1,3,0,0
15.05,10,4,0,48.13,1,4,0,1
18.93,14,5,0,41.57,1,4,0,2
11.7,7,5,0,28.09,1,4,0,3
14.41,7,1,0,30.43,1,5,0,0
22.68,11,2,0,32.39,2,2,0,0
2.06,15,0,0,5.15,1,1,0,1
8.32,17,4,0,24.24,1,2,1,3
21.69,9,0,0,68.66,2,4,0,2
